ean,name,brand,katalog,age_band,slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,flag_under3_intended,fragrance_basis,nc_basis,cf_basis,under3_basis,not_for_minors,spf_note,source_url,checked_at,notes,source_file
3760075074227,Spray solaire bébé 100 % naturel* haute protection - 50 sensible,Alphanova Sun,baby_kind,baby_0_36m,spf,FR,yes,no,no,yes,obf-label,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/3760075074227/spray-solaire-bebe-100-naturel-haute-protection-50-sensible-alphanova-sun,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
4066447524062,Alverde Baby njrgujuća kupka,Alverde,baby_kind,baby_0_36m,bad,HR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4066447524062/alverde-baby-njrgujuća-kupka,2026-09-04,,eu-baby-kind-katalog.csv
8001090603296,Lingettes,Aqua,baby_kind,baby_0_36m,windel,FR;DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8001090603296/lingettes-aqua,2026-09-04,,eu-baby-kind-katalog.csv
8029408103412,Baby gel de baño,Aqua Farma,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8029408103412/baby-gel-de-bano-aqua-farma,2026-09-04,,eu-baby-kind-katalog.csv
8001841119946,Baby Ariel,Ariel,baby_kind,baby_0_36m,sonst,AT,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8001841119946/baby-ariel,2026-09-04,,eu-baby-kind-katalog.csv
8411582230549,Suavizante hipoalergénico baby,Asevi,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8411582230549/suavizante-hipoalergenico-baby-asevi,2026-09-04,,eu-baby-kind-katalog.csv
3596710394111,Auchan Baby Liniment oléo calcaire,Auchan,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710394111/auchan-baby-liniment-oleo-calcaire,2026-09-04,,eu-baby-kind-katalog.csv
3245678127322,Auchan bio dentifrice enfants 3-6 ans fraise,Auchan,baby_kind,kind_3_11,sonst,FR,no,no,no,no,,,,kinderprodukt-ab-3-jahren,no,,https://world.openbeautyfacts.org/product/3245678127322/auchan-bio-dentifrice-enfants-3-6-ans-fraise,2026-09-04,,eu-baby-kind-katalog.csv
3596710421138,Gel gingival première dent,Auchan,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710421138/gel-gingival-premiere-dent-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710313389,Gel lavant corps & cheveux Camomille,Auchan,baby_kind,baby_0_36m,bad,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710313389/gel-lavant-corps-cheveux-camomille-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3245678704332,Gel lavant corps et cheveux aux extraits de calendula et de camomille,Auchan,baby_kind,baby_0_36m,bad,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3245678704332/gel-lavant-corps-et-cheveux-aux-extraits-de-calendula-et-de-camomille-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710368280,Lait de toilette baby camomille,Auchan,baby_kind,baby_0_36m,reiniger,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710368280/lait-de-toilette-baby-camomille-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710327720,Lingettes débarbouillantes sans rinçage parfum fruité,Auchan,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710327720/lingettes-debarbouillantes-sans-rincage-parfum-fruite-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3245678691458,Lingettes sensitives à l'extrait de camomille,Auchan,baby_kind,baby_0_36m,windel,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3245678691458/lingettes-sensitives-a-l-extrait-de-camomille-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710313419,Shampooing très doux,Auchan,baby_kind,baby_0_36m,haar,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710313419/shampooing-tres-doux-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710313891,Talc baby peaux délicates,Auchan,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710313891/talc-baby-peaux-delicates-auchan,2026-09-04,,eu-baby-kind-katalog.csv
3596710329571,Auchan Batonnets Baby X50,Auchan Baby,baby_kind,baby_0_36m,sonst,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710329571/auchan-batonnets-baby-x50-auchan-baby,2026-09-04,,eu-baby-kind-katalog.csv
3596710519507,Carrés à langer x10,Auchan Baby,baby_kind,baby_0_36m,creme,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710519507/carres-a-langer-x10-auchan-baby,2026-09-04,,eu-baby-kind-katalog.csv
3245678704400,Eau nettoyante,Auchan Baby,baby_kind,baby_0_36m,reiniger,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3245678704400/eau-nettoyante-auchan-baby,2026-09-04,,eu-baby-kind-katalog.csv
3596710510979,Eau nettoyante visage et corps à l'extrait de calendula,Auchan Baby,baby_kind,baby_0_36m,reiniger,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710510979/eau-nettoyante-visage-et-corps-a-l-extrait-de-calendula-auchan-baby,2026-09-04,,eu-baby-kind-katalog.csv
3596710421084,Gant de toilette jetable,Auchan Baby,baby_kind,baby_0_36m,creme,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3596710421084/gant-de-toilette-jetable-auchan-baby,2026-09-04,,eu-baby-kind-katalog.csv
